evidence,label
"The Earth is an oblate spheroid, slightly flattened at the poles and bulging at the equator.",TRUE
"Numerous satellite images and space missions have provided visual evidence of Earth's spherical shape.",TRUE
"The flat Earth model is a discredited archaic conception of Earth's shape as a plane or disk.",FALSE
"Gravity causes celestial bodies above a certain mass to form spheres, which is why planets and large moons are round.",TRUE
"The ancient Greeks provided evidence for Earth's spherical shape through observations of lunar eclipses and ships disappearing over the horizon.",TRUE
"Modern GPS systems and international air travel routes are based on Earth's spherical geometry.",TRUE
"Flat Earth theories persist despite overwhelming scientific evidence to the contrary.",FALSE
"The curvature of the Earth can be observed from high altitudes and during long-distance travel.",TRUE
"Flat Earth beliefs are often associated with conspiracy theories and rejection of mainstream science.",FALSE
"Earth's rotation causes the Coriolis effect, which influences wind patterns and ocean currents in ways that are consistent with a spherical planet.",TRUE
